,business_id,business_review_count,review_id,reviewer_average_stars,reviewer_review_count,reviewer_useful,text
,,,,,,,
565,pdxyZdnwltQXcu-kD5rpXQ,28,5_mXBgsLxVqs8Yaa3Qvbbw,3,1,0,"Was super annoyed by this Sephora. The first three times I was asked if I was ""doing ok?"" was not bothersome. By the tenth time I was asked, I really felt like the employees were going to frisk me. I had a baby with me! I really hope I don't have to do any holiday shopping here. I'd rather go somewhere else."
,,,,,,,
566,XKrEnL9yCtlhhIa6efbtGQ,14,v09iUodtcoCJxyqSLEdibw,2.8,5,2,Went there last night for their monthly free planetarium show. It was a really cool show that was unfortunately set to Pink Floyd music. After the show the science dept professors had a huge telescope set up and we were able to look at the moon. First friday of every month!
,,,,,,,
567,c7VgGP8xT25OSReok6fwcQ,54,LtjtyM0CcVWBNRJ-mfsC_Q,4,1253,10629,"I've gotta say, Nordy's (as my aunt refers to Nordstom since it's her favorite department store ever) is always a safe bet if you're looking for quality selection, customer service, and a very pleasant shopping experience.  Whether you're looking for shoes, lingerie, cosmetics, apparel, etc... you'll likely find it at Nordy's.

I'll have to take Samantha O's and Julia T's advice and remember to go to Nordstom's next time I need a new bra.

In the meantime, I've gotten lucky with shoes, all kinds of clothes, accessories, and perfume.  This weekend is a big sale.  I ran in earlier to return something and walked out with a new pair of shoes.  Oops.  Take that as a warning, Nordstrom can be dangerous for shop-a-holics.

The only times I have not gotten lucky at Nordstrom are when I've been on a mission for something specific - such as Converse Sneakers in Jared's size 7 or a certain shirt or bathing suit in my size.  But I'll overlook these times and return again and again... Keep up the good customer service and selection, Nordy's - and I'll be a customer for life."
,,,,,,,
568,MLVKDbuI2xaOJQ4-NZj2MQ,102,a2swmdqJKVM_yEGS9QWZsQ,4.38,8,6,"I really liked the experience I had at Marcellino's on Friday night.  They had opera singers from the Phoenix Symphony performing which were very good.  I enjoyed my handmade ravioli with spinach and yummy cheese (not fish yay!) filling and the wine and the mouse.  It was good!! 

But then something happened....my date gave the server his card to pay for the meal and it was brought back as not able to be processed (yikes!).  The server also informed him that they'd been able to process someone else's but one other didn't go through.  My date checked his account on line and it had plenty to cover, but had just enough cash to cover the tab, not really enough for a tip.  So he asked the server if they would try to put a lesser amount on the card to cover the tip and take the cash.  This is when the server informed us that the machine might be down and it wasn't just his it was everyone's! So he kinda lied earlier, which wasn't cool.  We then waited another 30 minutes without an appearance by the server to explain what was going on, although I could see Marcellino working on the machine, even trying his own card.  My date got up to go speak with him, and the server tried to divert him, but he was respectful and wanted to speak with the owner.  No attempt was made to really apologize for the delay or make up for the wait...so they wrote down his information and address to mail him a receipt.

Then, the next day, he checked his account and he'd been charged twice!! :( sad, because I thought I might like to go back at some point."
,,,,,,,
569,R2IWbpUgJQ3NRRjKQy6O_Q,18,Om_B3VbViUp9hzk42Xn20Q,4.63,35,20,"This my favorite Chipotle ever!!! It's so consistent and good! No hormones in the meat makes this ""fast"" food an A+ for me!!! Yum!!!"
,,,,,,,
570,IPsG_71MD8pwB9i3TKOJYg,93,7m3c59swF7eH2DGV2OTShA,3.47,17,17,"This place is amazing. Absolutely LEGIT. Some of the best shawarma and hummus in the US (Zankou Chicken in LA is a close competitor). The pita sandwiches are stuffed with delicious fresh meat, traditional pickles, and tahini or garlic dressing (depending on preference). Ask for their hot sauce to help spice things up even more. And the Jasmine infused lemonade is crazy sweet, but really good. 

I love this place, and have been a die-hard fan for over 4 years now."
,,,,,,,
571,V5QdxePG-pGPXVPHSLLM9A,99,OSxnYPxv__h3IIONka_I0g,4.08,39,85,"Stop everything you're doing and go get one of their brownies, warmed up, with an ice cold glass of milk. I'll never be the same."
,,,,,,,
572,DxUn-ukNL27GOuwjnFGFKA,185,EcvD8MPKPYKWtKl4L5pf-Q,4.32,148,390,"Suffered a senior moment today! Did the yelp check and thought this sounds good...the drive was very dejavu and then I discovered why....see previous review! lol .....but to update....the volcano appetizer, sedona roll and Mochi Icecream (which I am becoming addicted to) were all wonderful. Our waitress was also fantastic bringing plenty of their delicious iced tea and keeping the ginger bowl full....a necessity for me. The place was full tonight and I can see why. Question is will I remember?"
,,,,,,,
573,d_8bMNQd0mesbEUeq1U2kQ,47,QGe-BFFgDnVJ2l3jHXq0eA,3.71,31,92,"If Star of India (SoI) is named after the historic ship that set sail from Great Britain to India then it is best to declare at the beginning that there is nothing worth remembering about this place and there is little that keeps you afloat in the morass of ordinary fare. 

Like many other Indian restaurants in the valley, the smell of Indian cooking hangs in the air and permeates every piece of furnishing. The place does not disappoint when it comes to service, it is warm, quick and attentive. The complimentary papadums (Indian flatbread) with homemade chutneys (condiments) is usually the high point of a meal at SoI. 

Experiences with the order could be as follows: 
Gobi Parantha (Indian bread stuffed with cauliflower)- The real thing is meant to be fluffy and served with butter but the SoI parantha resembles a topping-less thin crust pizza. 
Lamb korma- The gravy is thick, nutty with a lot of authentic flavours but the meat tastes pre-cooked. 
Chicken biriyani- it is difficult to describe the God-food that is biryani but SoI manages to serve a new variation which is nothing more than chicken pieces thrown into a mishmash of rice and vegetables. 
Disheartenment with the over-priced, sub-standard food could lead to a decision of not ordering dessert. 

Finally, as observed in other reviews and the menu, if you visit this place then stick with the tandoori stuff and Chef's specialities. However in that case the excitement of an extensive menu will be lost."
,,,,,,,
574,gXkv89nyNlFyrEdblB3MKw,36,_vzqn2kve9Mp05Vsm_c7ow,0,0,0,"great 3D Imax theater,,,see the Transformers...very spectacular"
,,,,,,,
575,nfyqtEoufkhjv97IueK7Ow,55,6-Bd6EH7f4iOClnPi3R5pg,3.63,61,112,"Here's the 1. 2. 3...

1. Great Food. I love hot New Mexico style food. Good job.
2. They have a little brewery and make 3 house beers. Unfortunately, they're all shitty.
3. They could REALLY improve the service. No Bueno! 

We'll be back for the food. It might be take out next time though!

4-17-11 Update: Some asshole who was clearly affiliated with Arribas contacted me via private message to slam me for my review. I hope the yelp police find you and pull you off the site. More importantly, I hope more people read my review and stay away from this restaurant. Good Food folks, just get it to go! To Bryan L. and the rest of the gang over at Arribas....Go EFF yourselves! You get one star and NO more of my money!!!!!!! Learn how to work, Kid!"
,,,,,,,
576,nXKwzVKJCtIGd4HxXgjdnQ,67,ZQ2S7QL9ubt_zZdcE4Kz9Q,3.68,19,9,"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!"
,,,,,,,
577,2ceeU8e3nZjaPfGmLwh4kg,317,h6_uHLM-j0vKLjkRmKSNlg,3.5,10,16,"This is my favorite haunt. Whether it be St. Patricks Day, before a sundevil game or just a place to meet some friends for a quick drink. Gavin and the rest of the peeps are great. The food is the good, whether out on the patio eating bar food or inside the dining room indulging in dinner. 

This place will always be the primary place to grab a Guinness for me."
,,,,,,,
578,chFzObJSoxAbVlFfgk5JRg,20,vtHTJAz77K6uucwV51Cg0g,3.65,56,164,"3+ meals for $10.75? GREAT DEAL! Ask for your meal to go, so you don't have to pay 50 cents for take out box :)

How do you get 3+ meals, you might ask? PACKING & SMUSHING! First, add some meat, and use the wax paper to pack down the meat all along the sides and the bottom of the bowl. Try to avoid empty spaces in between every piece of meat. Then add your vegetables, and smush it all down with the wax paper with each layer of veggies you add. Make sure to add enough meat and veggies so that your have a flat surface up to the brim of the bowl. Add lots of green onions for extra flavor.

I recommend using the wheat noodles, because you can create a taller mountain of noodles and it's healthier!

Advice for the sauce: ADD LOTS OF IT. Since you're now a packing queen/king, you can't use the recipes on YC's wall, either double up or triple up.

Ask the nice Mongolian BBQ chefs to add pineapples and cilantro, and then when they finish cooking up your food, add some sesame seeds for that lil extra somethin somethin!"
,,,,,,,
579,Agz-gMJfjCsK5tdKC6FBYQ,39,JpmTOGXZYOwEY3tV7x2OoA,3.68,187,264,"Not bad. Not super amazing. My cafe rumba burrito was okay, line was moving a little slow but the employees were nice."
,,,,,,,
580,LzNJLEIo4gh-X_rmDkNkNg,181,gnkpry4OZrNA_4Y2t_XXtw,3.77,286,1598,"I came, I Kiltlifted til the wee hours, caught up with a friend who was in town for a few days and staying nearby. Decent enough bar, was able to talk above the music without yelling, no asshatness witnessed and they have Kiltlifter. Service was attentive, a team effort, yet a bit robotic. They seemed a bit overstaffed, and well , just bored. Did I mention the Kiltlifter?"
,,,,,,,
581,jQST5lkLGX9L52-A10TGTQ,66,Rq_CS4yv-0x8odT4BMYnAw,4.26,80,48,I had Thai coffee and thai fresh rolls. It was good. The vegetables were fresh and delicious. Plans to visit again.
,,,,,,,
582,h8rqIokh6EkM4flR9CjxbA,29,5rzUPtAk7rR5EK8x_WszwA,4,1253,10629,"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!"
,,,,,,,
583,1udzLbeQxmLTbOtgyVP0kQ,8,YdrffsqmsOZX81hYvK8Qwg,3.79,19,22,Delish & authentic! The serving was generous (meat combo fed 2). The injera was good (not too thick/doughy). Spicy and yummy. I would like to return and experience their coffee ceremony.
,,,,,,,
584,WJ5mq4EiWYAA4Vif0xDfdg,147,SuHlTdX-4q-mXkXD_H0m7g,3.78,9,29,"Well.. i love the space. It feels like a fresher, newer LUX.  EVerythings ""newer""..that's the only real difference (oh..and it;s 3 blocks over). Same varied array of mid-century modern tables and chairs.  Original artwork spread thru-out.   I've heard it the same original owners of LUX so it makes sense.    Even the espresso tastes like LUX.. which i don;t care for really.. tastes burnt.  I love my espresso... but not here nor there.

i love the space, its convenient, evreyone was friendly but (BIG BUT).. they close at 7pm Here's why i find it a problem... .Near a big High Rise, off the light rail (central and c-back).. so I would assume the majority of the crowd would prefer showing up, having a copa de cafe', enjoy some wi-fi surfing, mingle with friends.. but... how can I if i get off work at 5... i;m home by 5:30... freshen up at home.. it';s now 6.... i walk to  Lola... its now 6:15... I order my coffee... it;s ready.. i sit down.. it;s 6:30, I now have 30 minutes to enjoy my espresso read the paper or check my email.  

but hey,,, that;s just me.  

why do I give it 4 stars u may ask... again.. i love the space, the people, the art.. the furniture.. and most importantly I love small local business.


PLEASE STAY OPEN LATER! (and reconsider your espresso bean)"
,,,,,,,
585,w8D3DAby1nVgU8a4s3z88w,23,nTem0s2r5HX74DXs25WXaQ,4.09,13,12,Amazing clothing and fantastic deals! As a photographer this is my first stop for designing shoots when I need amazing wardrobe items. The owners are really nice and friendly and very helpful.
,,,,,,,
586,AkOruz5CrCxUmXe1p_WoRg,309,XIW7sy-FBHx6W0pyjv3Hgg,0,0,0,"Ordered the pork ramen and a rainbow roll. Both were great, sushi was like every other good sushi place and pork ramen was tasty and spicey. Good service from waiter but the hostesses weren't able to keep up with everyone and forgot we were there and had us wait awhile. Other than that, experience was good and would come back."
,,,,,,,
587,JGpl_nv5hHKGEOdphj-9-g,4,1KhtNOyfDXCYVdLRQ0SjgQ,3,2,4,"The sign also bills itself as 'Santa Fe style' food. Having lived many years in New Mexico, with a family - generations of which are from New Mexico - the cuisine was decidely not New Mexican. It was standard Sonoran.

With that said, the meal was quite enjoyable. The enchilada sauce had a nice flavor. The dulce de leche was fantastic. The service was very good. The decor was a little non-descript, but that's OK, All in all, a nice addition to the meager choices for Mexican food in Surprise.  We would probably come back.

I had to give it 3-stars because of what it is not. If you are looking for Spanish food - there is none here. If you are looking for New Mexican style-cuisine, you won't find it either. 

However, if you are looking for a decent, enjoyable meal at a local family-owned establishment, this is a good choice."
,,,,,,,
588,z5r8zD7vGPCMpKljERvKqg,3,IolU9r-B-NBp-rDRso6GaQ,3.56,41,44,"My husband and I have Been meaning to go in here and see if it was anything like hong kong gourmet, so yesterday for lunch we decided to give it a try. Huge mistake! The food was literally inedible, everything was either too cold or burnt to a char, nothing tasted good. We decided to try the desert and the cream puff (I'm unsure how you can mess that up) was petrified and the cream was so gross I spit it out. The smell of the flan actually made us gag, we had such an awful time I complained to the manager. She didn't even seem to care, and gave us 20% off of a lunch we didn't even eat. We were disgusted by this place, and we will never, ever go back. Don't do it, you will regret it!"
,,,,,,,
589,R8VwdLyvsp9iybNqRvm94g,421,DdeLB3snAlRh2qtZVss9LQ,3.87,135,201,"My wife and I visited LGO a while back and we were both impressed and enjoyed our meal. The WINGS were by far the best I have ever tasted. Our pizza was great, we had the pepperoni and ricotta. It does get kinda crowded and chaotic on weekend nights. The grocery store in pretty cool but didn't buy anything. Like a previous review, it did feel like a upscale Cracker Barrel. All around a great place to eat. Also, Take a camera so you can take pictures of all the lame hipster clowns that try to make it all about them. They are the only downside to LGO."
,,,,,,,
590,bc-lE-wGVAsUrX-kJhtY-Q,183,Cq9HM6xD-y-qA-nKoOOPtA,3.12,166,251,"They're really slipping now.  With dinner, you get cole slaw - you can ""upgrade"" to soup or salad for 2.50 more.  Really?  I've never heard of cole slaw being a pre-meal before.  I got the French Onion Soup, its actually better at Mimi's.  They put way too much cheese, the bread is pathetic and there's hardly any onions in it.

The prime rib comes with horseradish - very weak and cut with butter.  Never heard of that before either.  Luckily I had some sour cream with my baked potato and I asked for some raw horseradish so I can concoct my own.  Wasn't the best, but way better than the butter!  

The barbeque chicken was ok.  I've had better at diners.  They didn't really season the bird, just threw some barbeque sauce on it.  At least it wasn't terribly dry...

I don't think I'm coming back to this one.  Nooooo.."
,,,,,,,
591,6VRbbNQe5ouWmwsMebUMkg,75,2Vykbm0AO1_KjK2XB8W-KA,0,0,0,"This will be a simple post...I love indian food, and this is HANDS DOWN the very best in Az. The Chicken makhani is so buttery, so savory...the Chicken tikka masala, the best I ever had. Service is always good, the food comes out fast. It's not super cheap, since you have to pretty much order everything ala cart, but it is worth it. If you go on Friday or Saturday there is also belly dancers. When in rome!"
,,,,,,,
592,TAlmdEr0RNWZh9IiUS_BLA,23,x7_1l-zEcADww6KwO1-LIg,3.86,7,8,"We love this restaurant. It's a family-owned place and you always feel welcome. The food is excellent, especially compared to On the Border, etc.

Order the guacamole.

A tad pricey but it's North Scottsdale, so what do we expect?"
,,,,,,,
593,ItMihRR-t810HgctGofF3g,112,hfPUZTSCEACNP8d1FYUKCQ,4,10,13,"If you have dietary restrictions or are insanely health-conscious (like me), YOU MUST TRY NOURISH.

This is an amazing culinary experience for two reasons. 

First, if you are looking for exceptionally healthy food or have dietary-restrictions, you have a multitude of yummy choices.  The organic-y menu ranges from special dietary needs (Gluten-free, Egg-free, Dairy-free, etc.) to proteins from Vegan to Free-Range Meats.   All foods are well marked for dietary-restrictions.   Yesterday, we had a great roasted chicken and hamburger (gf bun--burger was a bit bland and dry but wifey was happy just having meat, since I do the cooking for us.)  The quinoa is quite tasty too.  The sweet potato-avacodo salad is great, as are the fries.  The 'free' cucumber water is very refreshing, to which I have adopted having a pitcher in my own kitchen.

The second reason the kitchen is REALLY COOL is that it is a COLD kitchen, with no ventilation.  Food is pre-cooked in kilm-like ovens, then when ordered, the prep work is to put into 800 degree Air-Fryers (and yes, no oil is used, it's an air dryer that looks like a jet-turbine engine).  It makes awesome fries and crispy skins on chicken.  Some done-ness variation does occur in this process; nonetheless, it works well for restaurants with not exhaust.

p.s.  Thanks for the tour."
,,,,,,,
594,rZbHg4ACfN3iShdsT47WKQ,363,A0-FUf6-Q-NI8iWxF857lQ,4,4,0,"The BEST of the BEST!

I agree with Daren C.  Killer Burgers, Steaks, Prime Rib and of course ribs.

Food melts in your mouth.  Make this your next restaurant stop.  You will not be disappointed."
,,,,,,,
595,8ZwO9VuLDWJOXmtAdc7LXQ,197,PxcSbgfDs6yBh_6nBeNcQg,3.75,127,333,"I was hoping for a more adult friendly place. I haven't been here in years, it used to be a gay-friendly hotspot. Now it seems to caters more to families and children. I've heard the restaurant is good, but I haven't visited yet."
,,,,,,,
596,cof7qW-PD0M7Jykclg48oQ,6,3zMROSt7HNbyq7Lp-MzaWA,3.42,338,1455,"I used to live off this place. They cut their meats and cheeses fresh like a real deli, so already it kicks the shit out of Subway, Quiznos, and every other fast food deli chain that offers up pre-packaged meats. Their bread and cookies are fresh as well. For some reason, this location has better tasting food than any other Port-o-Subs I've been to. Don't know why.

There's always a long line at lunch, but it moves fast. There's some good people watching to be done here - cops eat here, firemen eat here, doctors and nurses eat here, and you also get the entire spectrum of downtown Scottsdale folk... sometimes you would think you arrived at a costume party or they are filming a new Village People video. I don't know what it is and I don't know that it matters either, but good looking people eat here. Whatever you want to make of that... 

Most of the people that work here are really nice and competent. They keep this place pretty clean as well. Once I noticed some fruit flies buzzing around by the soda machine and was told they sometimes come with the fresh fruit they get for the smoothies (which are fantastic). Outside of that, I can't complain about this sub shop and I eat here all the time... it's almost just about as good as a non-chain place."
,,,,,,,
597,FGTbFEyNmsPoDoD93T8iSg,26,Wke6QDpOcszhU5EHL2bC1w,3.31,236,902,"Like anyone else with good taste, I think this place was better when it was called ""The Library"". IDK when their specials are, but the first jager bomb was $2 on a Tuesday night, and I'll love them forever just on that alone. There's plenty of space to sit throughout the bar, a restroom attendant, and usually a DJ.

It reminds me of sports bars you find everywhere in Glendale, just with a younger crowd."
,,,,,,,
598,c2_iUhnFqctffbBCSVMEbQ,33,T5uA9SW0saB8wuFMs9IsyQ,2.93,14,23,"I like these sort of ""mom & pop"" spots, small and intimate setting.  Great pizza!  I always enjoy the veggie pizza with jalapenos, oh so good!  And mu hubby loves the suicide wings, but we've tried almost everything off of the menu and you CANNOT go wrong.  Prices rock too!"
,,,,,,,
599,W0eocyGliMbg8NScqERaiA,101,yCB0PVMgHBCJYaAN7ZIAzg,4.28,68,140,"One of my new favorite lounges to go to with the girls.   1. I am a HUGE champagne fan 2. You can smoke on the patio 3. the drinks are great and 4. I LOVED the decor and atmosphere.  My friend and I were at Salt next door for a friends birthday party on a Friday night and decided to sneak next door for a drink to check it out.  The staff as a whole were awesome, everyone was very polite and sweet.  It has that chic feel with all the servers wearing cute corsets and dresses.  The DJ was great as well, fun music that kept the energy level up without making it too clubby and easy to still cary a conversation. Definitely a great new place to sit back and lounge in a place with a fun atmosphere and good service. Yay!"
,,,,,,,
600,EWMwV5V9BxNs_U6nNVMeqw,652,R3Dndbcc0jEAlXyr4JV1EA,4.19,169,382,"After reading the great reviews and getting plenty of recommendations to try Fez, I had the awesome opportunity to test it out last night at my first Yelp event and I am in love!  From the bright decor to the delicious food to the amazing service (I mean everyone who works there actually looks like they enjoy their job and are having a good time!) this place is 5 star.  

I love the cozy lounge feel and could easily see myself enjoying several hours of delicious cocktails and conversation with friends.  This would be a great spot for dinner, drinks, or even an event (another Yelp event please!).

Highlights:
Tasty drink menu
Fabulous wicker tables and trendy IKEAish style
Great part of town
Sexy servers...dang

Impress someone: Take them to FEZ!"
,,,,,,,
601,VDzgxHjMJj-1nMfJMtcSPQ,12,YlAdlU2f1Fumt7U6OGUs0A,3.5,8,8,"Tried this for the first time today.  While my hubbies french toast was wonderful and the kiddos enjoyed their meal, my biscuits and gravy tasted much like bacon grease and flour.  Sending it back and trying something else is what I would have liked to do, but the server never returned to check on us until my family was finished with their meal.  The owner did apologize and asked us to give them a try again.  Maybe I will, if the staff gets some training.  Everyone seemed completely overwhelmed.  It's too bad~as I love going out for breakfast."
,,,,,,,
602,2ceeU8e3nZjaPfGmLwh4kg,317,jWvzWKC2AM-enanyY0rOjw,3,75,173,"People used to rave about this place - I never got it...and I find it interesting that several other folks said the SAME thing in their reviews.  The parking lot would be full if you didn't get here before 7 PM, the service was always terrible and the crowd was overwhelmingly hipster morons.  Yeah, sure - that's better than the popped collar frat boy meat heads on Mill Ave but not who I want to spend my time with.

This place is for folks with too much to prove.

I'm pretty sure I only went once - maybe twice...I won't be back."
,,,,,,,
603,JhupPnWfNlMJivnWB5druA,299,POFRAQRX9UY4BF6faAP0jQ,3.69,541,579,"AZ88, the cousin of Hanny's, brings more glitz and better food selections than is Downtown relative.  My friend had a killer salad with buffalo chicken and I had a tremendously delicious burger with avocado, jalapenos, and salsa.  They were able to accommodate my desire to skip the fruit and veggie sides and go all waffle fries for me.  When I asked for dipping sauces beside ketchup, I got three choices.  I would only complain that their water glasses are far too small, especially for some of their spicier dishes.  I think the expectation is that you have cocktail to help you wash away some of the heat.  Speaking of their cocktails, the martinis, which I have had on a different occasion, are quite good.  This place definitely provides for an evening out and makes you forget that you live in Phoenix."
,,,,,,,
604,KGX7O-_WqOIy9o7u9NOa9A,163,mf3osxL0XKEwcJ37tWzOMg,5,1,1,"Yes, it is small, yes, it takes time to get your order, but the quality of the food serve is excelent !!! Celina is the name of the owner (not Selena) of this fabulus resturant.  She takes your order, runs to the kitchen and then she serves your order too. I wouldn't say that this is a one person resturant, because she has help in the kitchen.  
Very few Mexican resturants in Phoenix serve food as good as this one. The Menu is limited but whatever you order you will not be disappointed."
,,,,,,,
605,luCSjoNQ9q_0QIjKKOy2pQ,236,RfpcyW2C579dHixRbwa9XA,4.17,13,8,"If you like beer, you'll love Papago.   They have a huge beer selection and the prices are very good.  When ever I'm in Scottsdale, I make it a point to visit them."
,,,,,,,
606,GlfwqH2dY3MKxrRirKeueg,38,pXuWwfsLqMhNBRG_MLsBGA,1.25,5,5,Service was horrible and food was mediocre at best~ won't be going back
,,,,,,,
607,R8VwdLyvsp9iybNqRvm94g,421,1WupnSzzotzuhjkyl7yTEA,4.6,5,6,"La Grande Orange is great......at certain times! I used to work by there and the curbside pick-up is fantastic. Other than that? I find myself hesitating to go there now because of the atrocious parking situation. This place is an absolute zoo on the weekends and when I can't find a parking spot by the restaurant, I find myself parking in the surrounding neighborhood worrying that my car may be towed when I come out! 

Needless to say, their homemade English Muffins are amazing. I really could just survive on those happily for the rest of my life. The grape preserves on the side are fantastic as well...and I don't even like grape preserves! That, paired with their coffee, makes for one of the best breakfasts in the Valley. And, if you're splurging? Go for the salted chocolate chip cookie if they have it. It makes me happy just thinking about it. :-)

This place is great if you have a weekday morning available to come here..or an hour or two on the weekend. The little shopping area is great to browse around - when you can figure out a way through all the people in line! Don't get me wrong..the food is fantastic. I just like a little more relaxation on my weekend than fighting through the hordes just to get that amazing english muffin. It's worth it, but then I just feel tired.....annoyed. And that's really not how I want to start my weekend off. 

If you can....call in the order for Curbside Pick Up. That way, you can enjoy LGO without the frustration of finding the mythical parking spot, standing in a long line (albeit trendy) and searching for a table with everybody else so you don't have to eat the wonderfulness standing up."
,,,,,,,
608,Qr232ykh-d73aAKQqfdu8Q,29,hAWU7LKCKdeM0lYyYfY3fQ,4.2,5,1,"Can't go wrong with an iced gingerbread latte, hot waffle with Nutella spread and free wi-fi - especially shared with my beautiful wife. :)"
,,,,,,,
609,NAkRjPhS4yCD5trp0dY-bQ,147,5luYHSisIHcx7YtZohJPaQ,3.85,21,10,Refused to call me a cab because I had a phone.
,,,,,,,
610,MHy50GRrcXxMORpF_-kNCA,6,INhnWFbTOFOil3Q_Is0RGw,3.39,80,129,"Yup, I'm reviewing a gas station. I like the Quiktrip chain in general and this station in particular.

I find Quiktrips to generally be the cheapest gas in town. Sure, the Arco sign down the street might say it's 2 cents/gallon cheaper, but then you get whacked with the ATM surcharge, not to mention there's all those bums loitering in the adjacent bus stop.

With Quiktrip, the place is well lit, there's always a trash can and window squeegee at every pump, the convenience store is better than most, and unlike most other gas stations, they don't charge you for the air compressor. Oh, and the person at the register will actually greet you when you step inside the door, while managing to sound sincere about it. Is that the coolest thing for a convenience store or what? 

Bonus: for those of you who enjoy shopping at the Hot Chick Safeway down the street, this is the Hot Chick Gas Station."
,,,,,,,
611,0COaKgRuDzBisc2AxcLzMA,7,Q79BryA9gKNujzm39jpDKQ,4.15,72,256,"As a pretty devoted Fry's shopper, I have to say this is one of my least favorite locations. Unfortunately, it's the closest one to me, so I end up there often. It's almost always crowded, the layout is less than intuitive, and I've gotten questionable produce on more than one occasion. The employees are friendly enough, but it's just no comparison to other locations.

By the looks of it outside, it seems like it would be pretty large, but once you get inside it's cramped and the selections seem limited. 

I suppose this is mostly things they can't change, but it's enough to make me drive a few miles out of my way to avoid it if I have the time."
,,,,,,,
612,PoRYjYUSjmeWM1WLsx_45w,98,XThJY15-3koNSfynPQTJ_w,4.5,4,2,"The view from the top is quite amazing! I took my fiancee up here for a sunrise as part of her proposal, and she loved it!! You really can see the whole valley. As you're driving around Phoenix and have an unobstructed view to the south, you should be able to see all of the radio antennas at the top. You'd be surprised how high you are when you finally up get there. The rangers up there are friendly too. Just as some of the other reviews state though, do WATCH OUT for random bike riders, runners, and various pedestrians on your way up and in. The roads are a little narrow and there is not much room for error."
,,,,,,,
613,qBc36uFI7orWS8NpYZCv_w,30,u2OXOYGUcKilQf8ndpbSkw,3.62,314,423,"A perfectly good place for a chill Friday night dinner. I absolutely loved the atmosphere. Matta's has an upper level where every table is set up like a balcony over looking the main level, it feels like your in a courtyard. The only thing it's missing is an open look at the sky. There was also a mariachi band playing during the night which added to the appeal. And to make things really cool (at least to me), they did a Mexican version of the Godfather theme song. Loved it! 

The chips and salsa came out right away. The hot had a kick to it, but wasn't very flavorful. The mild was excellent, but I prefer my Salsa hot. I tried combining the two, which was only okay. The menu isn't really anything special. It's a lot smaller than most Mexican restaurants, and is loaded with the standards. My girlfriend had a chicken burrito which she enjoyed. I had the chicken fajitas, which were good as well. The food was good, but not great enough to make me run back out. 

The service was excellent. Our waitress was on top of everything despite the fact that we were on the upper level. We watched and felt a little bad as she had to run up and down the stairs (she usually took the stairs that weren't as visible, but you know what's going on) to get everything for us. I could imagine that if a server were having a bad enough day, they would just make people up there and wait. 

We just randomly chose Matta's because we happened to be at Mesa Riverview. I enjoyed my experience there. While it's not a place that I'm dieing to try again, if someone suggests Mexican, and we're nearby, I'd recommend it."
,,,,,,,
614,UUssRgBCO_riWg3chbv9Zg,64,gNepvdQlS4feEB92g33qVw,4.07,45,72,"Not impressed. Beer was cold, but bar keep was disinterested in assisting us, atmosphere was drab, place was small, and the to go order was TERRIBLE! There was no BBQ the day we were there and I just wasn't feeling the place. 

My hubby and I have been missing this place since it closed its original restaurant in Cave Creek. We heard it moved to Phoenix and we found it and went there this past week. Unfortunately, it was nothing like the old, hopping, smell good, smokey, fun filled environment of the original SF. 

I can see that they have a lot of regulars and the barkeep knew everyone that walked through the door, which to me,  was very cool, but it just wasn't gelling for me this night I suppose. 

We ordered the deep Fried green chili's and there was soooo much batter  on them, I had to really concentrate hard to find the chili. I ended up peeling all of the batter off of the chili's just to get a small bite. icky. 

I would give this another chance just because I hate writing a bad review. So, after the holidays, may check it out on a Friday night and see where it stands then, Also, I will hope that when I arrive next time, the smoker out back is kicking and there is some REAL BBQ to be had."
,,,,,,,
615,byhwHi0lhYdyY5kSpuqoaQ,166,PgSPQE9n-c3FqUhmSoJHAw,4.36,59,64,"Here last night with friends. We had to wait a little longer to be seated than I would have liked but we were a party of five so I understand. Once we were seated service was quick and pleasant. We shared a couple of the flatbreads to start, so by the time we ordered entrees I was already pretty full and went with a salad, the strawberry balsamic, which was delicious and just made me feel all ready for summer. We were there quite a while talking and enjoying our meal, and the staff never made us feel hurried although it was a pretty busy night. We tipped well enough that I don't feel bad about taking up space for that long, that's something I always make sure to do in that situation."
,,,,,,,
